S.No,Issue Description,Location,Priority,Status,WCAG Guideline,Assigned To,Created Date,Recommendation
1,"Checkbox is announced as ""blank"" by screen readers: During testing, the ""Analytics and Statistics"" checkbox was intermittently announced as ""blank"" by screen readers instead of consistently exposing its accessible name, role, and state. This inconsistent behavior may prevent screen reader users from reliably identifying the purpose of the checkbox or understanding its current state.

Because the control is not announced consistently, users may be uncertain whether the checkbox has received focus or what option they are interacting with, making it more difficult to review and configure cookie preferences.",Cookies Screen,None,Not Started,"4.1.2 Name, Role, Value (Level A)",Unassigned,01/01/1970,"Ensure the checkbox consistently exposes its accessible name, role, and state to assistive technologies whenever it receives focus. Verify that:

Focus is always placed on the native checkbox control rather than any decorative or non-semantic elements.
The accessible name is consistently associated with the checkbox and remains available after dynamic updates.
Custom JavaScript or styling does not interfere with the accessibility tree or the announcement of the control.
The checkbox is tested across supported browsers and screen readers to confirm it is consistently announced as ""Analytics and Statistics, checkbox, checked/not checked"" (or equivalent)."
2,Missing heading mark-up: The 'Choose Type of Cookies You Accept Using' text constitute as heading but not marke as such.,Cookies Screen,None,Not Started,1.3.1 Info and Relationships (Level A),Unassigned,01/01/1970,"Use a heading tag <h2> for the mentioned text.

Example code:
<h2 id=""cookie_settings_header"" class=""g8ou8RWNXT5RO4rxjjWc cookie-settings-header isense-cookie-settings-header"" style=""width: 100%; text-align: left;"">Choose Type of Cookies You Accept Using</h2>

Resources:
Organizing a page using headings:
https://www.w3.org/WAI/WCAG21/Techniques/general/G141"
3,"Insufficient color contrast for non-text content: The contrast ratio between the foreground color of the checkbox with its background color is less than 3:1.

 Foreground colour: #272D3D
 Background colour: #000000
 Contrast ratio: 1.5:1",Cookies Screen,None,Not Started,1.4.11 Non-text Contrast (Level AA 2.1 ),Unassigned,01/01/1970,"Ensure that the contrast ratio between the element and its background is of at least 3.0:1. 

Resources:
Non-text contrast:
https://www.w3.org/WAI/WCAG21/Understanding/non-text-contrast.html

Contrast (Minimum):
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)

Color contrast analyser:
https://www.tpgi.com/color-contrast-checker/"
4,"Multiple links have the same accessible name but different destinations: Multiple links on the page use the same accessible name, ""Start now,"" but navigate to different destinations or perform different actions. Because the accessible name does not distinguish their purpose, screen reader users cannot determine which link corresponds to which content when navigating through the list of links.",No.1 AI-Powered Golf GPS & Stats Tracking App,None,Not Started,2.4.4 Link Purpose (In Context) (Level A),Unassigned,01/01/1970,"Ensure each link has a unique and descriptive accessible name that clearly identifies its purpose or destination. For example, include the associated plan or product name in the visible text or accessible name (e.g., ""Start now – Premium Plan"", ""Start now – Free Membership"")."
5,"Missing table semantics and accessible names for SVG status icons: The comparison table is not programmatically identified as a data table, making it difficult for screen reader users to understand the relationships between features and membership types. Additionally, the SVG icons used to indicate feature availability (e.g., checkmarks) do not provide accessible names or text alternatives, so users of assistive technologies cannot determine whether a feature is available for Blue Tees Member or Guest. As a result, the visual information conveyed by the icons is not communicated non-visually.",No.1 AI-Powered Golf GPS & Stats Tracking App,None,Not Started,"1.3.1 Info and Relationships (Level A)

1.1.1 Non-text Content (Level A)",Unassigned,01/01/1970,"Implement proper HTML table semantics using <table>, <caption> (if appropriate), <thead>, <tbody>, <tr>, <th>, and <td>, ensuring row and column headers are programmatically associated. Provide accessible text for the status icons, such as ""Available"", ""Included"", or ""Not available"", either through visible text, visually hidden text, or appropriate ARIA attributes. Decorative SVGs should be hidden from assistive technologies using aria-hidden=""true""."
6,"Insufficient color contrast for text: The contrast ratio between the foreground color of the white text with its gray background color is below the required 4.5:1 ratio.

 Foreground colour: #FFFFFF
 Background colour: #B0B0B0
 Contrast ratio: 2.2:1",No.1 AI-Powered Golf GPS & Stats Tracking App,None,Not Started,1.4.3 Contrast (Minimum) (Level AA),Unassigned,01/01/1970,"Make sure that the contrast ratio between the element and its background is of at least 4.5:1.

For color compliant options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Resources:
Understanding contrast (minimum):
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html

Ensuring that a contrast ratio of at least 4.5:1 exists between text (and images of text):
https://www.w3.org/TR/WCAG20-TECHS/G18.html

Contrast (minimum):
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)"
7,"Insufficient color contrast for text: The contrast ratio between the foreground color of the white text with its background color is below the required 4.5:1 ratio.

 Foreground colour: #FFFFFF
 Background colour: #ACA398
 Contrast ratio: 2.5:1",No.1 AI-Powered Golf GPS & Stats Tracking App,None,Not Started,1.4.3 Contrast (Minimum) (Level AA),Unassigned,01/01/1970,"Make sure that the contrast ratio between the element and its background is of at least 4.5:1.

For color compliant options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Resources:
Understanding contrast (minimum):
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html

Ensuring that a contrast ratio of at least 4.5:1 exists between text (and images of text):
https://www.w3.org/TR/WCAG20-TECHS/G18.html

Contrast (minimum):
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)"
8,"Incorrect heading level: The section uses two separate <h4> elements for the item number (""01"") and the corresponding title (""Put players first""). This creates an incorrect heading structure and results in screen readers announcing them as separate headings, making the content less meaningful and harder to navigate. The number and title represent a single heading and should be programmatically associated.",No.1 AI-Powered Golf GPS & Stats Tracking App,None,Not Started,1.3.1 Info and Relationships (Level A),Unassigned,01/01/1970,"Combine the item number and title into a single heading, for example, <h3>01. Put players first</h3>, and use an <h3> if it is the appropriate level within the page's heading hierarchy. Ensure headings follow a logical, sequential order without skipping levels.

Example code:
<h3>01- Put players first</h3>"
9,"Missing visible labels for form fields: The form fields rely on placeholder text as the visible label, while the associated <label> elements are visually hidden using a screen-reader-only class. As a result, sighted users do not have persistent labels once they begin entering information, which can make it difficult to identify the purpose of each field. Placeholders are not a substitute for visible labels because they disappear during data entry and do not provide a consistent visual reference.",Careers at Blue Tees Golf,None,Not Started,"3.3.2 Labels or Instructions (Level A)

1.3.1 Info and Relationships (Level A)",Unassigned,01/01/1970,"Provide persistent, visible labels for all form fields (e.g., First Name, Last Name, Email, Phone Number, Portfolio URL, LinkedIn, and Message) and ensure each label is programmatically associated with its corresponding form control using the for attribute on the <label> element and the matching id on the input. Placeholders may be retained as examples or hints but should not replace visible labels."
10,"Missing alternative text for informative image: The image is missing an alt attribute. As a result, screen reader users may receive no meaningful information about the image or may hear the image file name or URL instead. If the image conveys content or supports the surrounding information, its purpose is not communicated to users who cannot see it.",Careers at Blue Tees Golf,None,Not Started,1.1.1 Non-text Content (Level A),Unassigned,01/01/1970,"Provide appropriate alternative text using the alt attribute that describes the image's purpose or the information it conveys. If the image is purely decorative and does not convey meaningful content, use an empty alt="""" and ensure it is ignored by assistive technologies."
